[2022-06-08 19:00:33.376] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execInTerminal.title.
[2022-06-08 19:00:33.376] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execInTerminalIcon.title.
[2022-06-08 19:00:33.376] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.debugInTerminal.title.
[2022-06-08 19:00:33.376] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execSelectionInDjangoShell.title.
[2022-06-08 19:00:33.376] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execSelectionInTerminal.title.
[2022-06-08 19:00:33.376] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.goToPythonObject.title.
[2022-06-08 19:00:33.376] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.launchTensorBoard.title.
[2022-06-08 19:00:33.376] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.refreshTensorBoard.title.
[2022-06-08 19:00:33.376] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.reportIssue.title.
[2022-06-08 19:00:33.376] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.testing.rerunFailedTests.title.
[2022-06-08 19:00:33.376] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.runLinting.title.
[2022-06-08 19:00:33.377] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.setInterpreter.title.
[2022-06-08 19:00:33.377] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.setLinter.title.
[2022-06-08 19:00:33.377] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.sortImports.title.
[2022-06-08 19:00:33.377] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.startREPL.title.
[2022-06-08 19:00:33.377] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.viewLanguageServerOutput.title.
[2022-06-08 19:00:33.377] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.viewOutput.title.
[2022-06-08 19:00:33.377] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execInTerminalIcon.title.
[2022-06-08 19:00:33.377] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.debugInTerminal.title.
[2022-06-08 19:00:33.378] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.createNewFile.title.
[2022-06-08 19:00:33.379] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.menu.createNewFile.title.
[2022-06-08 19:00:33.379] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.analysis.restartLanguageServer.title.
[2022-06-08 19:00:33.379] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.clearPersistentStorage.title.
[2022-06-08 19:00:33.379] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.clearWorkspaceInterpreter.title.
[2022-06-08 19:00:33.379] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.configureTests.title.
[2022-06-08 19:00:33.379] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.createTerminal.title.
[2022-06-08 19:00:33.379] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.enableLinting.title.
[2022-06-08 19:00:33.379] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.enableSourceMapSupport.title.
[2022-06-08 19:00:33.379] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execInTerminal.title.
[2022-06-08 19:00:33.380] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execInTerminalIcon.title.
[2022-06-08 19:00:33.380] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.debugInTerminal.title.
[2022-06-08 19:00:33.380] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execSelectionInDjangoShell.title.
[2022-06-08 19:00:33.380] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execSelectionInTerminal.title.
[2022-06-08 19:00:33.380] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.goToPythonObject.title.
[2022-06-08 19:00:33.380] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.launchTensorBoard.title.
[2022-06-08 19:00:33.380] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.refreshTensorBoard.title.
[2022-06-08 19:00:33.380] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.reportIssue.title.
[2022-06-08 19:00:33.381] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.testing.rerunFailedTests.title.
[2022-06-08 19:00:33.381] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.runLinting.title.
[2022-06-08 19:00:33.381] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.setInterpreter.title.
